,vip,title,year,kms,city,province,transmission,price,age,age_sq,year_norm,year_norm_sq,kms_norm,kms_norm_sq,10th Quantile,50th Quantile,90th Quantile,cheap,expensive
133,29201411,"2015 Mitsubishi RVR SE,Heated Seats,BackUp Camera,Bluetooth,Cruis Ctrl,Alloy,Manual Trans.*Certified*",2015.0,156308.0,Mississauga,ON,Manual,12988.0,8.0,64.0,0.04,0.0016,156.308,24432.190863999997,11573.70599578895,14899.8997624193,17348.088004370933,False,False
134,29004391,2019 Mitsubishi RVR - 4WD | B/U Cam | Htd Seats,2019.0,64193.0,Saskatoon,SK,Automatic,27998.0,4.0,16.0,0.08,0.0064,64.193,4120.741249,20507.379401675003,24651.843241989805,27829.20997978297,False,True
135,29181854,2021 Mitsubishi RVR ES | AWD | Apple CarPlay | Backup Cam | Cruise Control | Auto A/C | Heated Seats,2021.0,72034.0,Maple Ridge,BC,Automatic,30685.0,2.0,4.0,0.1,0.010000000000000002,72.034,5188.897156000001,24991.47233934932,27790.179089723148,31694.070906782013,False,False
136,29004195,2022 Mitsubishi RVR SE | Backup Cam | Heated Seats |,2022.0,21644.0,Edmonton,AB,Automatic,32778.0,1.0,1.0,0.11,0.0121,21.644,468.46273599999995,26634.121875533987,30734.247068144276,35731.982043383025,False,False
137,29320895,2019 Mitsubishi RVR SE AWC,2019.0,52000.0,Ottawa,ON,Automatic,23450.0,4.0,16.0,0.08,0.0064,52.0,2704.0,20390.66311661726,24974.51337449053,28269.783386370356,False,False
138,28927116,"2019 Mitsubishi RVR SE AWC, ENCORE GARANTIE, banc chauffant et plus!!",2019.0,115978.0,Repentigny,QC,Automatic,21497.0,4.0,16.0,0.08,0.0064,115.978,13450.896483999999,20191.45465891651,23003.302545254526,25956.159625386994,False,False
139,28781410,"2015 Mitsubishi RVR AWD, BLUE-TOOTH #223",2015.0,157043.0,Medicine Hat,AB,Automatic,14634.0,8.0,64.0,0.04,0.0016,157.043,24662.503849,11545.241901918529,14868.284167931623,17321.44748560598,False,False
140,28653263,2023 Mitsubishi RVR ES | AWC | HTD SEATS | AUTO LED,2023.0,0.0,Surrey,BC,Automatic,29798.0,0.0,0.0,0.12,0.0144,0.0,0.0,28447.999999999996,32858.57547706862,38826.46188927402,False,False
141,29185724,2021 Mitsubishi RVR ES,2021.0,51000.0,Moncton,NB,Automatic,26900.0,2.0,4.0,0.1,0.010000000000000002,51.0,2601.0,24825.37699356122,28358.89297850582,32454.18083534312,False,False
142,28078732,2017 Mitsubishi RVR Other,2017.0,55618.0,Kitchener,ON,Automatic,22985.0,6.0,36.0,0.06,0.0036,55.618,3093.3619240000003,16463.18335616149,21592.477881323102,24373.903624596875,False,False
